leftavatar,rightavatar,backgroundimage,targetperspective,dotnumber,correct,congruence,avatarangles,condition,lx,rx,,VARIABLE KEY,NOTE: Trial order is randomized.
rfl[a0].png,lfr[a1].png,3578.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,leftavatar,"identity (self = [a0], other = [a1]) and orientation (e.g., right-facing = rf, left-facing = lf)"
rfl[a1].png,lfr[a0].png,3578.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,rightavatar,"identity (self = [a0], other = [a1]) and orientation (e.g., right-facing = rf, left-facing = lf)"
rfl[a0].png,lfr[a1].png,1357.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,backgroundimage,numbers correspond to dot positions where 1 is the left-most position and 9 is the right-most position
rfl[a1].png,lfr[a0].png,1357.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,targetperspective,self-explanatory
rfl[a0].png,lfr[a1].png,3579.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,dotnumber,"number of dots visible to target (now redundant with ""correct"" because the response is the number of dots rather than match/mismatch)"
rfl[a1].png,lfr[a0].png,3579.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,correct,correct response
rfl[a0].png,lfr[a1].png,2357.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,congruence,congruent or incongruent
rfl[a1].png,lfr[a0].png,2357.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,avatarangles,"whether avatars are both angled inward, outward, or parallel (left or right)"
rfl[a0].png,lfr[a1].png,3457.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,condition,"(e.g., CS1 means Congruent, Self is targeted, and 1 is the correct response)"
rfl[a1].png,lfr[a0].png,3457.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,lx,e-prime variable indicating the x coordinate of the left avatar
rfl[a0].png,lfr[a1].png,3568.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,rx,e-prime variable indicating the x coordinate of the right avatar
rfl[a1].png,lfr[a0].png,3568.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a0].png,lfr[a1].png,3567.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a1].png,lfr[a0].png,3567.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a0].png,lfr[a1].png,2457.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a1].png,lfr[a0].png,2457.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a0].png,rfr[a1].png,3578.jpg,Your avatar,1,1,inc,parallel,IS1,40,63,,,
lfl[a0].png,lfr[a1].png,3567.jpg,Your avatar,1,1,inc,parallel,IS1,38,61,,,
lfl[a1].png,lfr[a0].png,2358.jpg,Your avatar,1,1,inc,parallel,IS1,38,61,,,
rfl[a1].png,rfr[a0].png,2457.jpg,Your avatar,1,1,inc,parallel,IS1,40,63,,,
rfl[a0].png,rfr[a1].png,2358.jpg,[OTHERNAME]'s avatar,1,1,inc,parallel,IO1,40,63,,,
lfl[a0].png,lfr[a1].png,3457.jpg,[OTHERNAME]'s avatar,1,1,inc,parallel,IO1,38,61,,,
lfl[a1].png,lfr[a0].png,3578.jpg,[OTHERNAME]'s avatar,1,1,inc,parallel,IO1,38,61,,,
rfl[a1].png,rfr[a0].png,3568.jpg,[OTHERNAME]'s avatar,1,1,inc,parallel,IO1,40,63,,,
rfl[a0].png,rfr[a1].png,3568.jpg,Your avatar,2,2,inc,parallel,IS2,40,63,,,
lfl[a0].png,lfr[a1].png,2358.jpg,Your avatar,2,2,inc,parallel,IS2,38,61,,,
lfl[a1].png,lfr[a0].png,3457.jpg,Your avatar,2,2,inc,parallel,IS2,38,61,,,
rfl[a1].png,rfr[a0].png,3578.jpg,Your avatar,2,2,inc,parallel,IS2,40,63,,,
rfl[a0].png,rfr[a1].png,3578.jpg,[OTHERNAME]'s avatar,2,2,inc,parallel,IO2,40,63,,,
lfl[a0].png,lfr[a1].png,3567.jpg,[OTHERNAME]'s avatar,2,2,inc,parallel,IO2,38,61,,,
lfl[a1].png,lfr[a0].png,2358.jpg,[OTHERNAME]'s avatar,2,2,inc,parallel,IO2,38,61,,,
rfl[a1].png,rfr[a0].png,2457.jpg,[OTHERNAME]'s avatar,2,2,inc,parallel,IO2,40,63,,,
rfl[a0].png,lfr[a1].png,3579.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a1].png,lfr[a0].png,3579.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a0].png,lfr[a1].png,2357.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a1].png,lfr[a0].png,2357.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a0].png,lfr[a1].png,3578.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a1].png,lfr[a0].png,3578.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a0].png,lfr[a1].png,1357.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a1].png,lfr[a0].png,1357.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a0].png,lfr[a1].png,3567.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a1].png,lfr[a0].png,3567.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a0].png,lfr[a1].png,2457.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a1].png,lfr[a0].png,2457.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a0].png,lfr[a1].png,3457.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a1].png,lfr[a0].png,3457.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a0].png,lfr[a1].png,3568.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a1].png,lfr[a0].png,3568.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
lfl[a0].png,rfr[a1].png,3589.jpg,Your avatar,1,1,inc,outward,IS1,38,63,,,
lfl[a0].png,rfr[a1].png,3579.jpg,Your avatar,1,1,inc,outward,IS1,38,63,,,
lfl[a1].png,rfr[a0].png,2357.jpg,Your avatar,1,1,inc,outward,IS1,38,63,,,
lfl[a1].png,rfr[a0].png,1357.jpg,Your avatar,1,1,inc,outward,IS1,38,63,,,
lfl[a0].png,rfr[a1].png,2357.jpg,[OTHERNAME]'s avatar,1,1,inc,outward,IO1,38,63,,,
lfl[a0].png,rfr[a1].png,1357.jpg,[OTHERNAME]'s avatar,1,1,inc,outward,IO1,38,63,,,
lfl[a1].png,rfr[a0].png,3589.jpg,[OTHERNAME]'s avatar,1,1,inc,outward,IO1,38,63,,,
lfl[a1].png,rfr[a0].png,3579.jpg,[OTHERNAME]'s avatar,1,1,inc,outward,IO1,38,63,,,
lfl[a0].png,rfr[a1].png,2357.jpg,Your avatar,2,2,inc,outward,IS2,38,63,,,
lfl[a0].png,rfr[a1].png,1357.jpg,Your avatar,2,2,inc,outward,IS2,38,63,,,
lfl[a1].png,rfr[a0].png,3589.jpg,Your avatar,2,2,inc,outward,IS2,38,63,,,
lfl[a1].png,rfr[a0].png,3579.jpg,Your avatar,2,2,inc,outward,IS2,38,63,,,
lfl[a0].png,rfr[a1].png,3589.jpg,[OTHERNAME]'s avatar,2,2,inc,outward,IO2,38,63,,,
lfl[a0].png,rfr[a1].png,3579.jpg,[OTHERNAME]'s avatar,2,2,inc,outward,IO2,38,63,,,
lfl[a1].png,rfr[a0].png,2357.jpg,[OTHERNAME]'s avatar,2,2,inc,outward,IO2,38,63,,,
lfl[a1].png,rfr[a0].png,1357.jpg,[OTHERNAME]'s avatar,2,2,inc,outward,IO2,38,63,,,
rfl[a0].png,lfr[a1].png,3578.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a1].png,lfr[a0].png,3578.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a0].png,lfr[a1].png,1357.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a1].png,lfr[a0].png,1357.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a0].png,lfr[a1].png,3579.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a1].png,lfr[a0].png,3579.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a0].png,lfr[a1].png,2357.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a1].png,lfr[a0].png,2357.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a0].png,lfr[a1].png,3457.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a1].png,lfr[a0].png,3457.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a0].png,lfr[a1].png,3568.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a1].png,lfr[a0].png,3568.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a0].png,lfr[a1].png,3567.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a1].png,lfr[a0].png,3567.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a0].png,lfr[a1].png,2457.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a1].png,lfr[a0].png,2457.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a0].png,rfr[a1].png,3578.jpg,Your avatar,1,1,inc,parallel,IS1,40,63,,,
lfl[a0].png,lfr[a1].png,3567.jpg,Your avatar,1,1,inc,parallel,IS1,38,61,,,
lfl[a1].png,lfr[a0].png,2358.jpg,Your avatar,1,1,inc,parallel,IS1,38,61,,,
rfl[a1].png,rfr[a0].png,2457.jpg,Your avatar,1,1,inc,parallel,IS1,40,63,,,
rfl[a0].png,rfr[a1].png,2358.jpg,[OTHERNAME]'s avatar,1,1,inc,parallel,IO1,40,63,,,
lfl[a0].png,lfr[a1].png,3457.jpg,[OTHERNAME]'s avatar,1,1,inc,parallel,IO1,38,61,,,
lfl[a1].png,lfr[a0].png,3578.jpg,[OTHERNAME]'s avatar,1,1,inc,parallel,IO1,38,61,,,
rfl[a1].png,rfr[a0].png,3568.jpg,[OTHERNAME]'s avatar,1,1,inc,parallel,IO1,40,63,,,
rfl[a0].png,rfr[a1].png,3568.jpg,Your avatar,2,2,inc,parallel,IS2,40,63,,,
lfl[a0].png,lfr[a1].png,2358.jpg,Your avatar,2,2,inc,parallel,IS2,38,61,,,
lfl[a1].png,lfr[a0].png,3457.jpg,Your avatar,2,2,inc,parallel,IS2,38,61,,,
rfl[a1].png,rfr[a0].png,3578.jpg,Your avatar,2,2,inc,parallel,IS2,40,63,,,
rfl[a0].png,rfr[a1].png,3578.jpg,[OTHERNAME]'s avatar,2,2,inc,parallel,IO2,40,63,,,
lfl[a0].png,lfr[a1].png,3567.jpg,[OTHERNAME]'s avatar,2,2,inc,parallel,IO2,38,61,,,
lfl[a1].png,lfr[a0].png,2358.jpg,[OTHERNAME]'s avatar,2,2,inc,parallel,IO2,38,61,,,
rfl[a1].png,rfr[a0].png,2457.jpg,[OTHERNAME]'s avatar,2,2,inc,parallel,IO2,40,63,,,
rfl[a0].png,lfr[a1].png,3579.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a1].png,lfr[a0].png,3579.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a0].png,lfr[a1].png,2357.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a1].png,lfr[a0].png,2357.jpg,Your avatar,1,1,con,inward1,CS1,40,61,,,
rfl[a0].png,lfr[a1].png,3578.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a1].png,lfr[a0].png,3578.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a0].png,lfr[a1].png,1357.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a1].png,lfr[a0].png,1357.jpg,[OTHERNAME]'s avatar,1,1,con,inward1,CO1,40,61,,,
rfl[a0].png,lfr[a1].png,3567.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a1].png,lfr[a0].png,3567.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a0].png,lfr[a1].png,2457.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a1].png,lfr[a0].png,2457.jpg,Your avatar,2,2,con,inward1,CS2,40,61,,,
rfl[a0].png,lfr[a1].png,3457.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a1].png,lfr[a0].png,3457.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a0].png,lfr[a1].png,3568.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
rfl[a1].png,lfr[a0].png,3568.jpg,[OTHERNAME]'s avatar,2,2,con,inward1,CO2,40,61,,,
lfl[a0].png,rfr[a1].png,3589.jpg,Your avatar,1,1,inc,outward,IS1,38,63,,,
lfl[a0].png,rfr[a1].png,3579.jpg,Your avatar,1,1,inc,outward,IS1,38,63,,,
lfl[a1].png,rfr[a0].png,2357.jpg,Your avatar,1,1,inc,outward,IS1,38,63,,,
lfl[a1].png,rfr[a0].png,1357.jpg,Your avatar,1,1,inc,outward,IS1,38,63,,,
lfl[a0].png,rfr[a1].png,2357.jpg,[OTHERNAME]'s avatar,1,1,inc,outward,IO1,38,63,,,
lfl[a0].png,rfr[a1].png,1357.jpg,[OTHERNAME]'s avatar,1,1,inc,outward,IO1,38,63,,,
lfl[a1].png,rfr[a0].png,3589.jpg,[OTHERNAME]'s avatar,1,1,inc,outward,IO1,38,63,,,
lfl[a1].png,rfr[a0].png,3579.jpg,[OTHERNAME]'s avatar,1,1,inc,outward,IO1,38,63,,,
lfl[a0].png,rfr[a1].png,2357.jpg,Your avatar,2,2,inc,outward,IS2,38,63,,,
lfl[a0].png,rfr[a1].png,1357.jpg,Your avatar,2,2,inc,outward,IS2,38,63,,,
lfl[a1].png,rfr[a0].png,3589.jpg,Your avatar,2,2,inc,outward,IS2,38,63,,,
lfl[a1].png,rfr[a0].png,3579.jpg,Your avatar,2,2,inc,outward,IS2,38,63,,,
lfl[a0].png,rfr[a1].png,3589.jpg,[OTHERNAME]'s avatar,2,2,inc,outward,IO2,38,63,,,
lfl[a0].png,rfr[a1].png,3579.jpg,[OTHERNAME]'s avatar,2,2,inc,outward,IO2,38,63,,,
lfl[a1].png,rfr[a0].png,2357.jpg,[OTHERNAME]'s avatar,2,2,inc,outward,IO2,38,63,,,
lfl[a1].png,rfr[a0].png,1357.jpg,[OTHERNAME]'s avatar,2,2,inc,outward,IO2,38,63,,,